longitude,latitude,housing_median_age,total_rooms,total_bedrooms,Liv_Area,population,households,median_income,Sale_Price,Neighborhood,ocean_proximity
-122.23,37.88,41,880,4,828,322,126,8.3252,452600,San Francisco,NEAR BAY
-122.22,37.86,21,7099,4,299,2401,1138,8.3014,358500,San Francisco,NEAR BAY
-122.24,37.85,52,1467,4,133,496,177,7.2574,352100,Bakersfield,NEAR BAY
-122.25,37.85,52,1274,3,1055,558,219,5.6431,341300,San Diego,NEAR BAY
-122.25,37.85,52,1627,4,543,565,259,3.8462,342200,San Jose,NEAR BAY
-122.25,37.85,52,919,3,160,413,193,4.0368,269700,Fresno,NEAR BAY
-122.25,37.84,52,2535,3,669,1094,514,3.6591,299200,Sacramento,NEAR BAY
-122.25,37.84,52,3104,3,427,1157,647,3.12,241400,San Jose,NEAR BAY
-122.26,37.84,42,2555,4,162,1206,595,2.0804,226700,Santa Ana,NEAR BAY
-122.25,37.84,52,3549,2,902,1551,714,3.6912,261100,Bakersfield,NEAR BAY
-122.26,37.85,52,2202,5,552,910,402,3.2031,281500,Fresno,NEAR BAY
-122.26,37.85,52,3503,3,119,1504,734,3.2705,241800,San Francisco,NEAR BAY
-122.26,37.85,52,2491,3,733,1098,468,3.075,213500,Santa Ana,NEAR BAY
-122.26,37.84,52,696,2,447,345,174,2.6736,191300,Santa Ana,NEAR BAY
-122.26,37.85,52,2643,3,150,1212,620,1.9167,159200,Santa Ana,NEAR BAY
-122.26,37.85,50,1120,4,1640,697,264,2.125,140000,San Francisco,NEAR BAY
-122.27,37.85,52,1966,5,584,793,331,2.775,152500,Long Beach,NEAR BAY
-122.27,37.85,52,1228,2,186,648,303,2.1202,155500,Bakersfield,NEAR BAY
-122.26,37.84,50,2239,4,432,990,419,1.9911,158700,Oakland,NEAR BAY
-122.27,37.84,52,1503,4,691,690,275,2.6033,162900,Bakersfield,NEAR BAY
-122.27,37.85,40,751,2,184,409,166,1.3578,147500,Santa Ana,NEAR BAY
-122.27,37.85,42,1639,5,587,929,366,1.7135,159800,San Francisco,NEAR BAY
-122.27,37.84,52,2436,2,558,1015,478,1.725,113900,Sacramento,NEAR BAY
-122.27,37.84,52,1688,2,100,853,325,2.1806,99700,Los Angeles,NEAR BAY
-122.27,37.84,52,2224,2,539,1006,422,2.6,132600,Oakland,NEAR BAY
-122.28,37.85,41,535,4,352,317,119,2.4038,107500,Fresno,NEAR BAY
-122.28,37.85,49,1130,5,88,607,239,2.4597,93800,Bakersfield,NEAR BAY
-122.28,37.85,52,1898,3,432,1102,397,1.808,105500,Oakland,NEAR BAY
-122.28,37.84,50,2082,4,446,1131,473,1.6424,108900,Santa Ana,NEAR BAY
-122.28,37.84,52,729,3,99,395,155,1.6875,132000,Santa Ana,NEAR BAY
-122.28,37.84,49,1916,2,546,863,378,1.9274,122300,Bakersfield,NEAR BAY
-122.28,37.84,52,2153,3,364,1168,441,1.9615,115200,Oakland,NEAR BAY
-122.27,37.84,48,1922,4,107,1026,335,1.7969,110400,Fresno,NEAR BAY
-122.27,37.83,49,1655,5,728,754,329,1.375,104900,Oakland,NEAR BAY
-122.27,37.83,51,2665,3,279,1258,536,2.7303,109700,Fresno,NEAR BAY
-122.27,37.83,49,1215,2,146,570,264,1.4861,97200,San Jose,NEAR BAY
-122.27,37.83,48,1798,4,1167,987,374,1.0972,104500,Santa Ana,NEAR BAY
-122.28,37.83,52,1511,4,568,901,403,1.4103,103900,San Diego,NEAR BAY
-122.26,37.83,52,1470,2,194,689,309,3.48,191400,Fresno,NEAR BAY
-122.26,37.83,52,2432,5,772,1377,696,2.5898,176000,Long Beach,NEAR BAY
-122.26,37.83,52,1665,4,514,946,395,2.0978,155400,San Diego,NEAR BAY
-122.26,37.83,51,936,5,170,517,249,1.2852,150000,Los Angeles,NEAR BAY
-122.26,37.84,49,713,3,911,462,189,1.025,118800,Santa Ana,NEAR BAY
-122.26,37.84,52,950,2,512,467,198,3.9643,188800,Santa Ana,NEAR BAY
-122.26,37.83,52,1443,4,236,660,292,3.0125,184400,San Jose,NEAR BAY
-122.26,37.83,52,1656,2,679,718,382,2.6768,182300,Fresno,NEAR BAY
