Neighborhood,Source,Liv_Area,Total_bedrooms,Sale_Price,Predicted
StoneBr,Ames,1280,2,191500,277943.3238
Gilbert,Ames,1804,3,189000,199714.8913
StoneBr,Ames,1856,1,394432,308665.5682
NWAmes,Ames,2073,3,210000,208535.6545
BrDale,Ames,1092,3,105500,103820.0016
NPkVill,Ames,836,2,120000,118918.5888
NridgHt,Ames,1752,2,319900,310079.9074
Gilbert,Ames,2035,3,222500,211952.6067
NoRidge,Ames,1720,3,260400,289506.3658
SawyerW,Ames,2110,3,205000,210932.4678
SawyerW,Ames,752,2,125000,139196.956
SawyerW,Ames,1564,3,171000,182006.9586
Sawyer,Ames,1902,4,112000,175844.6417
Sawyer,Ames,1155,3,148000,136478.1521
Sawyer,Ames,1040,3,127000,130385.7829
NoRidge,Ames,2349,4,362500,322621.5548
Somerst,Ames,1200,2,155000,207383.4862
Somerst,Ames,1236,2,152000,209290.6627
Somerst,Ames,1573,3,177500,226936.5318
Somerst,Ames,1848,3,254000,241505.2406
Somerst,Ames,1492,3,230000,222645.3848
NAmes,Ames,1232,3,142250,142139.2272
NWAmes,Ames,1328,3,143000,169067.6977
NAmes,Ames,1728,6,84900,167793.616
NAmes,Ames,1078,2,142125,134188.1716
NAmes,Ames,2461,3,197600,207248.1115
NAmes,Ames,1063,3,128000,133186.0934
NAmes,Ames,1128,2,178000,136837.0278
NAmes,Ames,1888,2,190000,177099.6414
NAmes,Ames,1206,3,108538,140761.822
NAmes,Ames,1337,3,108000,147701.8251
NAmes,Ames,1064,2,135000,133446.4919
NAmes,Ames,1287,3,162000,145052.969
NAmes,Ames,2978,5,242000,234222.4414
NAmes,Ames,1246,3,154000,142880.9069
NAmes,Ames,1116,3,160000,135993.8809
OldTown,Ames,1140,3,96500,107903.8358
OldTown,Ames,1028,2,115000,102177.8194
OldTown,Ames,1316,3,130000,117227.8094
OldTown,Ames,1251,3,119000,113784.2964
OldTown,Ames,1245,3,1.00E+05,113466.4337
BrkSide,Ames,765,2,87000,100287.3255
OldTown,Ames,1812,4,140000,143297.0411
ClearCr,Ames,2403,4,244400,247291.967
SWISU,Ames,1392,3,1.00E+05,124456.2313
SWISU,Ames,919,3,95000,99398.05204
Sawyer,Ames,1020,2,94000,129533.6619
Sawyer,Ames,912,3,125000,123604.7112
Sawyer,Ames,1373,3,160250,148027.1649
ClearCr,Ames,1524,0,260000,201554.7614
Edwards,Ames,835,2,83000,104937.0221
Edwards,Ames,930,2,84900,109969.8488
SawyerW,Ames,1732,3,178000,190907.1153
SawyerW,Ames,1949,3,236000,202403.151
CollgCr,Ames,1694,3,245350,209635.373
ClearCr,Ames,1052,3,155000,175927.2951
CollgCr,Ames,2098,4,240000,230830.7093
Edwards,Ames,960,3,90000,111351.7411
Edwards,Ames,1526,4,144500,141129.3713
SWISU,Ames,2650,6,160000,190479.188
SWISU,Ames,2447,4,169000,180139.6748
Crawfor,Ames,2133,4,257500,226268.207
Crawfor,Ames,1902,3,335000,214237.913
IDOTRR,Ames,1178,2,102776,101625.7005
Crawfor,Ames,1646,2,246000,200883.1909
Mitchel,Ames,1285,3,190000,160844.4802
Timber,Ames,1687,3,160000,245575.6788
Timber,Ames,1214,2,179781,220724.921
Mitchel,Ames,1264,2,169000,159939.3821
Mitchel,Ames,1430,3,173500,168526.1631
Mitchel,Ames,874,3,130000,139070.8826
Mitchel,Ames,833,2,149900,137106.242
Mitchel,Ames,2432,4,159000,221401.8191
Mitchel,Ames,1479,5,161000,170707.1993
NAmes,Ames,882,2,124500,123804.6555
Gilbert,Ames,1382,3,177500,177358.5453
Gilbert,Ames,1718,3,185000,195158.8587
Gilbert,Ames,1593,3,178000,188536.7183
Gilbert,Ames,1167,3,173000,165968.4638
Gilbert,Ames,1983,3,225000,209197.7963
StoneBr,Ames,1530,3,260000,290980.1832
NWAmes,Ames,1602,3,215000,183583.4295
NWAmes,Ames,1671,3,2.00E+05,187238.851
NWAmes,Ames,1370,3,152000,171292.7369
Somerst,Ames,1884,3,240900,243412.4171
NWAmes,Ames,1621,3,213000,184589.9948
NWAmes,Ames,1116,3,167900,157836.5476
NAmes,Ames,864,3,76500,122643.6459
NAmes,Ames,864,3,120500,122643.6459
BrDale,Ames,1302,3,119500,114945.1974
NPkVill,Ames,1322,3,147000,144458.0492
NPkVill,Ames,1456,3,138000,151556.9837
NAmes,Ames,1120,3,148800,136205.7894
NridgHt,Ames,2020,3,402861,324070.355
NridgHt,Ames,1713,3,274900,307806.3782
NridgHt,Ames,2224,4,350000,334670.2667
NridgHt,Ames,1836,3,280000,314322.5643
NridgHt,Ames,2392,3,386250,343777.8448
NridgHt,Ames,2400,4,290000,343994.2404
NridgHt,Ames,2200,3,382500,333606.2372
NridgHt,Ames,1884,2,320000,317072.8877
NridgHt,Ames,1712,3,286500,307753.4011
Gilbert,Ames,1560,3,174000,186788.4732
Blmngtn,Ames,1145,2,160200,180962.9063
Gilbert,Ames,2267,4,2.00E+05,224035.8779
Gilbert,Ames,1374,3,170000,176934.7283
Gilbert,Ames,1419,3,184100,179318.6989
Gilbert,Ames,1594,3,195500,188589.6954
NoRidge,Ames,2794,4,403000,346196.3746
NoRidge,Ames,2063,3,315000,307677.519
NoRidge,Ames,2448,4,402000,327866.29
Somerst,Ames,1702,3,275500,233770.5807
Somerst,Ames,1432,3,245000,219466.7574
Somerst,Ames,1436,3,225000,219678.6659
Somerst,Ames,1402,3,229800,217877.4437
Somerst,Ames,1653,3,209000,231174.7016
SawyerW,Ames,2122,4,220000,211360.7719
SawyerW,Ames,1434,3,189000,175119.9326
Sawyer,Ames,980,3,110000,127207.1555
Sawyer,Ames,980,3,135000,127207.1555
Sawyer,Ames,864,2,122000,121269.2307
Sawyer,Ames,1020,3,124100,129326.2405
Sawyer,Ames,1144,3,131400,135895.4037
NoRidge,Ames,1755,3,235000,291360.5651
Somerst,Ames,1256,1,195000,210557.6266
Veenker,Ames,1694,2,318750,238429.7379
Greens,Ames,1226,1,211500,190859.7117
Sawyer,Ames,1620,3,150000,161112.5144
NWAmes,Ames,1442,2,185000,175314.5112
NAmes,Ames,864,2,130000,122851.0673
NAmes,Ames,1776,4,110000,170751.3608
NAmes,Ames,1516,3,167000,157184.7302
NAmes,Ames,1445,3,158000,153423.3544
NAmes,Ames,1041,3,124500,132020.5967
BrkSide,Ames,708,2,82500,97267.62952
NAmes,Ames,1668,3,140000,165237.2529
NAmes,Ames,1113,3,147000,135834.9495
NAmes,Ames,1584,4,124000,160579.7531
NAmes,Ames,1329,3,176000,147278.0081
NAmes,Ames,1112,2,126000,135989.3938
NAmes,Ames,793,2,113000,119089.6915
NAmes,Ames,1210,2,102900,141181.1519
OldTown,Ames,792,2,109500,89675.21833
OldTown,Ames,1374,2,105000,120507.904
NAmes,Ames,1306,2,153000,146266.9557
NAmes,Ames,1040,2,92900,132175.041
NAmes,Ames,1040,2,90000,132175.041
NAmes,Ames,1041,3,128000,132020.5967
NAmes,Ames,1339,3,139000,147807.7794
NAmes,Ames,1461,4,133500,154063.567
OldTown,Ames,1230,2,110000,112879.1983
OldTown,Ames,2372,4,107500,172964.2301
OldTown,Ames,1389,3,135000,121095.1394
OldTown,Ames,886,2,91300,94655.06791
OldTown,Ames,2007,3,160000,153835.0015
OldTown,Ames,816,2,58500,90946.66929
BrkSide,Ames,1176,2,134900,122060.9232
BrkSide,Ames,1412,4,132500,134148.6814
BrkSide,Ames,1573,3,133000,142885.4196
OldTown,Ames,1826,4,155000,144038.7208
OldTown,Ames,1944,3,179900,150497.4428
IDOTRR,Ames,1930,4,149000,141049.6543
IDOTRR,Ames,1666,3,135000,127271.1152
Edwards,Ames,1152,2,159900,121730.7701
Edwards,Ames,1112,4,63000,119196.8424
Sawyer,Ames,858,2,134900,120951.3679
Sawyer,Ames,1138,3,148000,135577.541
Sawyer,Ames,660,2,63900,110461.8975
Edwards,Ames,1229,3,135000,125602.5872
Edwards,Ames,861,1,82500,106521.8487
Edwards,Ames,1073,2,121500,117545.5774
Edwards,Ames,1049,2,139500,116274.1264
SawyerW,Ames,1775,3,213000,193185.1316
SawyerW,Ames,1879,3,239900,198694.7524
SawyerW,Ames,2016,4,131000,205745.1968
SawyerW,Ames,1535,4,118858,180263.2006
SawyerW,Ames,1229,2,148325,164467.0438
SawyerW,Ames,2787,6,269500,246175.716
CollgCr,Ames,1604,3,220000,204867.4319
CollgCr,Ames,1290,2,2.00E+05,188440.0367
CollgCr,Ames,1040,3,152000,174988.3345
CollgCr,Ames,1097,3,145000,178008.0305
CollgCr,Ames,907,3,140000,167942.3771
CollgCr,Ames,1611,3,250000,205238.2718
CollgCr,Ames,1870,3,211000,218959.3467
CollgCr,Ames,1417,3,210000,194960.7099
CollgCr,Ames,1716,2,191000,211008.2911
CollgCr,Ames,848,1,144000,165231.5697
CollgCr,Ames,1602,3,293200,204761.4777
CollgCr,Ames,1728,3,190000,211436.5952
Edwards,Ames,1486,3,167000,139217.7078
Edwards,Ames,1368,3,120000,132966.4073
Edwards,Ames,1529,4,98000,141288.3027
Edwards,Ames,864,2,99900,106473.3587
Edwards,Ames,944,2,82000,110711.5285
SWISU,Ames,1520,3,159434,131237.3031
SWISU,Ames,438,1,60000,74330.89864
Crawfor,Ames,1913,3,177000,214820.6614
Crawfor,Ames,2080,3,234000,223667.8409
Crawfor,Ames,1112,2,144800,172593.4071
Crawfor,Ames,1982,3,208000,218476.0829
Crawfor,Ames,1680,3,222000,202476.9917
IDOTRR,Ames,1344,3,147000,110212.4815
IDOTRR,Ames,1192,3,78000,102159.9588
IDOTRR,Ames,1526,2,85000,120061.7394
IDOTRR,Ames,572,2,75000,69521.56387
Mitchel,Ames,1710,3,240000,183359.7576
Mitchel,Ames,1734,4,126000,184423.7871
Timber,Ames,1692,3,224500,245840.5645
Timber,Ames,1641,3,316500,243138.7312
Timber,Ames,2014,3,170000,262899.1981
Mitchel,Ames,1404,3,160000,167148.7579
Mitchel,Ames,796,2,131900,135146.0884
Mitchel,Ames,1362,1,143000,165338.5616
Mitchel,Ames,1287,3,130000,160950.4345
Gilbert,Ames,1604,3,187500,189119.4666
Gilbert,Ames,1470,3,165000,182020.5321
Gilbert,Ames,1658,3,188000,191980.2313
StoneBr,Ames,1337,2,188500,280963.0198
StoneBr,Ames,2500,5,355000,341953.1498
StoneBr,Ames,1884,2,387000,309941.5062
StoneBr,Ames,1710,2,334000,300723.4868
NWAmes,Ames,2064,3,235000,208058.8604
NWAmes,Ames,1964,4,205000,202553.7266
BrDale,Ames,987,2,103400,98464.82507
BrDale,Ames,987,2,106000,98464.82507
BrDale,Ames,1302,3,111750,114945.1974
NPkVill,Ames,1456,4,143000,151349.5623
NPkVill,Ames,1055,2,148500,130520.5788
NridgHt,Ames,2084,2,385000,327668.3123
NridgHt,Ames,2713,3,446261,360783.5013
NridgHt,Ames,2088,4,250000,327465.3779
NridgHt,Ames,2332,4,316000,340391.796
NridgHt,Ames,2668,3,412500,358399.5308
NridgHt,Ames,1575,2,284000,300702.9566
NridgHt,Ames,2649,4,421250,357185.544
NridgHt,Ames,1518,1,274000,297890.682
NridgHt,Ames,1342,2,234250,288359.2869
Blmngtn,Ames,1246,2,187687,186313.5957
Gilbert,Ames,1593,3,193000,188536.7183
Gilbert,Ames,1166,2,190000,166122.9081
Gilbert,Ames,2322,4,225000,226949.6196
NoRidge,Ames,2197,4,287500,314569.0321
NoRidge,Ames,2127,3,271000,311068.0549
Somerst,Ames,1874,3,297900,242882.6458
Somerst,Ames,1372,3,250580,216288.13
SawyerW,Ames,1663,3,192500,187251.6938
SawyerW,Ames,1175,3,146000,161398.8577
SawyerW,Ames,1114,3,159000,158167.2532
SawyerW,Ames,1162,3,170000,160710.1551
SawyerW,Ames,1679,3,193500,188099.3278
SawyerW,Ames,1199,2,153900,162877.7301
Sawyer,Ames,984,3,128000,127419.064
Sawyer,Ames,912,2,144000,123812.1326
Sawyer,Ames,890,3,115000,122439.2145
Sawyer,Ames,1641,4,140000,162017.6125
Somerst,Ames,1419,2,290000,218985.4762
Somerst,Ames,1709,2,328900,234348.8419
Veenker,Ames,1719,1,324000,239961.5874
Veenker,Ames,1232,3,162500,213746.8856
NWAmes,Ames,1258,3,145000,165359.2991
NAmes,Ames,912,2,147000,125393.9692
NAmes,Ames,925,3,135000,125875.2504
NAmes,Ames,1728,6,145000,167793.616
NAmes,Ames,1728,6,142600,167793.616
NWAmes,Ames,1656,4,135000,186236.7727
NAmes,Ames,1165,3,174900,138589.7599
NAmes,Ames,1350,3,168500,148390.5277
NAmes,Ames,1362,3,163000,149026.2532
NAmes,Ames,1431,3,165000,152681.6747
NAmes,Ames,1988,4,227000,181982.5109
NAmes,Ames,1261,3,163000,143675.5638
NAmes,Ames,1570,3,166800,160045.4948
NAmes,Ames,1152,3,137500,137901.0573
NAmes,Ames,1790,3,180000,171700.4619
NAmes,Ames,952,2,139000,127513.0541
NAmes,Ames,773,2,110000,118030.1491
OldTown,Ames,1159,3,114000,108910.4011
OldTown,Ames,672,2,86900,83317.96356
OldTown,Ames,1436,3,139000,123585.0642
NAmes,Ames,1716,4,171000,167572.7334
NAmes,Ames,910,3,116000,125080.5935
NAmes,Ames,1256,3,159000,143410.6781
NAmes,Ames,1027,3,125900,131278.9169
NAmes,Ames,1269,3,155000,144099.3807
NAmes,Ames,825,2,109500,120784.9595
OldTown,Ames,1133,3,143000,107532.9959
